kick_result,kick_distance,game_seconds_remaining,total_home_score,total_away_score,home_team,away_team,posteam_score,defteam_score,score_differential
1,34,3,22,23,LAC,DEN,20,22,-2
1,49,1531,14,17,ARI,OAK,14,14,0
1,21,925,14,20,ARI,OAK,17,14,3
1,35,2,21,23,ARI,OAK,20,21,-1
1,38,3256,3,0,NO,PHI,0,0,0
1,19,409,48,7,NO,PHI,45,7,38
1,33,3062,3,0,CHI,MIN,0,0,0
1,41,1855,14,0,CHI,MIN,11,0,11
1,36,911,14,3,CHI,MIN,0,14,-14
1,36,711,14,6,CHI,MIN,3,14,-11
1,48,172,23,14,CHI,MIN,20,14,6
1,23,2698,16,7,LA,KC,13,7,6
1,21,2289,16,10,LA,KC,7,16,-9
1,33,1049,32,30,LA,KC,29,30,-1
1,40,2043,7,3,DET,CHI,0,7,-7
1,20,468,16,16,DET,CHI,13,16,-3
1,28,1892,10,7,DAL,WAS,7,7,0
1,31,77,31,23,DAL,WAS,20,31,-11
1,32,2860,7,3,NO,ATL,0,7,-7
1,22,2352,10,3,NO,ATL,7,3,4
0,54,2886,0,7,CIN,CLE,0,7,-7
1,41,2003,10,6,TB,SF,7,6,1
1,39,1809,13,6,TB,SF,10,6,4
1,23,1565,13,9,TB,SF,6,13,-7
0,42,939,14,14,BUF,JAX,14,14,0
1,22,189,24,14,BUF,JAX,21,14,7
1,47,2972,3,7,BAL,OAK,0,7,-7
1,28,2234,12,7,BAL,OAK,9,7,2
1,42,1958,12,10,BAL,OAK,7,12,-5
1,26,2835,3,0,CAR,SEA,0,0,0
1,33,2565,3,3,CAR,SEA,0,3,-3
1,25,1801,13,10,CAR,SEA,10,10,0
1,30,572,20,20,CAR,SEA,17,20,-3
0,52,105,27,27,CAR,SEA,27,27,0
1,31,4,27,30,CAR,SEA,27,27,0
1,34,1950,7,10,NYJ,NE,7,7,0
1,55,1808,10,10,NYJ,NE,7,10,-3
1,32,1417,10,13,NYJ,NE,10,10,0
1,38,1144,13,13,NYJ,NE,10,13,-3
1,25,2895,0,9,PHI,NYG,6,0,6
1,51,2378,0,12,PHI,NYG,9,0,9
1,42,2122,3,12,PHI,NYG,0,12,-12
1,28,1311,14,19,PHI,NYG,11,19,-8
1,29,352,22,22,PHI,NYG,19,22,-3
1,43,25,25,22,PHI,NYG,22,22,0
1,30,2966,0,10,LAC,ARI,7,0,7
0,46,2385,7,10,LAC,ARI,10,7,3
1,31,208,45,10,LAC,ARI,42,10,32
1,29,1458,14,17,IND,MIA,14,14,0
0,48,1116,14,17,IND,MIA,14,17,-3
1,46,511,17,24,IND,MIA,14,24,-10
1,32,3,27,24,IND,MIA,24,24,0
0,48,3284,0,0,DEN,PIT,0,0,0
1,41,3091,3,0,DEN,PIT,0,0,0
1,41,2194,3,3,DEN,PIT,0,3,-3
0,48,2080,14,14,MIN,GB,14,14,0
0,56,1803,14,14,MIN,GB,14,14,0
1,37,1111,17,14,MIN,GB,14,14,0
1,38,145,24,17,MIN,GB,14,24,-10
1,31,3410,0,3,HOU,TEN,0,0,0
1,43,1801,24,10,HOU,TEN,21,10,11
1,47,1438,27,10,HOU,TEN,24,10,14
1,26,3267,3,0,DAL,NO,0,0,0
1,46,1855,13,0,DAL,NO,10,0,10
1,33,1503,13,3,DAL,NO,0,13,-13
1,44,3276,3,0,ATL,BAL,0,0,0
1,41,1810,9,10,ATL,BAL,7,9,-2
1,21,1502,9,13,ATL,BAL,10,9,1
1,45,936,9,16,ATL,BAL,13,9,4
1,47,449,9,19,ATL,BAL,16,9,7
1,35,3104,10,0,TB,CAR,7,0,7
1,37,1562,17,10,TB,CAR,7,17,-10
1,57,1801,9,14,NYG,CHI,6,14,-8
1,36,569,23,17,NYG,CHI,14,23,-9
1,37,113,26,17,NYG,CHI,23,17,6
1,21,75,26,20,NYG,CHI,17,26,-9
1,44,360,29,27,NYG,CHI,26,27,-1
1,32,1446,14,9,MIA,BUF,6,14,-8
0,55,220,21,17,MIA,BUF,17,21,-4
1,30,1933,3,0,JAX,IND,0,0,0
1,37,705,6,0,JAX,IND,3,0,3
1,35,3195,3,0,HOU,CLE,0,0,0
